Título,Comentario,Puntaje
500 euros de servicio para atención…,500 euros de servicio para atención pésima. Ultima vez que reservo con airbnb. Nos encontramos con un sofa cama en malas condiciones y con el colchón deteriorado nos piden fotos pero aseguran que el colchón esta bien el anfitrión no contesta y hemos venido 18 días de vacaciones pero nos iremos con escoliosis.,Valorada con 1 estrellas sobre 5
Exasperante …,Exasperante si quieres simplemente preguntar al anfitrión una duda previa a la reserva. Si llamas a atención al cliente peor que si llamas a un organismo público. Me ahorro detalles. Al final he pasado de ellos. He perdido 3 horas divagando sin resolver la duda. Para lo que cuesta la reserva en comisiones podrían ser más eficientes,Valorada con 1 estrellas sobre 5
Vergonzoso,"La peor página de reservas o una de las peores, reservamos un apartamento en enero del 2023 para ir del 06 al 13 de agosto del 2023, cual es nuestra sorpresa? que el día 29 de julio de 2023, es decir UNA SEMANA ANTES de irnos de vacaciones nos llega un mensaje del propietario diciéndonos que tiene que anularnos la reserva y que nos devuelve el dinero, así sin más, a una semana de irnos te anulan la reserva sin darte explicación ninguna ni compensación alguna por hacerte perder tus vacaciones ya que a una semana no encuentras nada. Una auténtica vergüenza.",Valorada con 1 estrellas sobre 5
Dos malas experiencias de tres,"Dos malas experiencias de tres , una el apartamento un desastre, no se correspondía con las fotos y la Segunda me anulan la reserva un mes antes de irUn desastre",Valorada con 1 estrellas sobre 5
Timadores,Timadores. Me marché nada más llegar de un estudio en Portugal por estar en un camarote y ser de ubicación y permisos ilegales. 0 cobertura por parte de Airbnb que prefiere cobrar a actuar de manera legal. Cuidado! Hay otras páginas más fiables y con mejor respuesta ante problemas como este.,Valorada con 1 estrellas sobre 5
Los de Airbnb son unos estafadores,"Los de Airbnb son unos estafadores, alquilo un apartamento a través de ellos 2 días 315€, cuando llego al apartamento todo muy bienEn Pleno verano 21-07-2023 pero a las 3 horas se va la luz llamo ala anfitriona ( dueña) y me dice que me lo solicionaria rápido.. Imaginaros pleno verano el apartamento en el último piso y sin aire acondicionado estaba la casa a 32 grados...Pues después de 12 horas me solucionan el problema y los de Airbnb por el problema solo me reembolsan 36€ cuando he estado 12 horas sin poder pisar el apartamento.. Una auténtica estafa solo quieren dinero para ellos",Valorada con 1 estrellas sobre 5
Los estafadores de airbnb!!!Quería…,Los estafadores de airbnb!!!Quería alquilar un piso pero después de2 minutos hablando con el dueño de Estivella me dí cuenta que era una habitación sola!Entonces canceló en seguida y el dueño parecía de acuerdo para reembolsarme totalmente.Pero los cabr.nes de airbnb le dijeron que él y por supuesto ellos se podían guardar 30 por ciento de los 990 euros!Resulta que él no quería reembolsarme más;solo porque me equivoqué y que sobre los 990 euros airbnb cobran más de 200 euros!Me lo.dijó el dueño quién tiene más empatía que Poutine y airbnb son una pandilla solo interesada por el dinero y no por por el ser humano!Da asco!Vaya unas hijos de p.ta y el dueño Antolin un estafador sin alma!,Valorada con 1 estrellas sobre 5
Todo muy mal,Se han quedado con 850 euros de reserva por no poder actualizar el método de pago mientras estuve fuera del país sin acceso a mi correo electrónico ni a las notificaciones que me enviaron. No me han dado ninguna solución y se han quedado con todo el dinero de mi reserva. Mucho cuidado con las reservas no reembonsables.,Valorada con 1 estrellas sobre 5
Pésima atención,"Pésima atención y conocimiento del sistema por parte de los agentes. Llevo un mes intentando cambiar los datos fiscales, ya que no están actualizados y no hay manera de encontrar a alguien que sepa hacerlo. Cada vez contesta alguien diferente que reenvía el caso a otro departamento que no sabe contestar a algo tan importante y simple como corregir los datos fiscales.",Valorada con 1 estrellas sobre 5
Airbnb no debería ofertar apartamentos…,"Airbnb no debería ofertar apartamentos sin licencia turistica gestionados a menudo por anfitriones irresponsables,cínicos y desalmados que estafan y perjudican seriamente a los huéspedes.Los perjudicados deberían denunciar más a menudo aunque suponga un esfuerzo extra.Y los gobiernos deberían proteger al ciudadano. Todo funcionaría mejor así y a eso debemos aspirar o cada vez ira a peor y nos estafaran y abusaran cada vez más mientras se enriquecen a nuestra costa. Hace falta ser sinceros y valientes, pero también actuar. Denunciar por escrito en los organismos pertinentes en lugar de solo quejarse en los foros para desahogo.",Valorada con 1 estrellas sobre 5
Quise alquilar depto en Rio de Janeiro…,"Quise alquilar depto en Rio de Janeiro para enero. El primer intento el anfitrión me rechazó y lo mismo con dos más porque los precios publicados no corresponden a la temporada alta. Para que publican propiedades que todavía no saben que precio van a costar?. Puse mis datos de tarjeta, me saqué de fotos...tanto control invasivo y perdida de tiempo para nada. Total falta de seriedad y responsabilidad",Valorada con 1 estrellas sobre 5
Nada rexomendable,"Plataforma que cobra unos gastos de gestión desorbitados y cuando el anfitrión cancela te ves con ""el cul0 al aire"". Te mandan un par de alternativas mal buscadas que no se parecen en nada a lo que tú tenías reservado y no paran de dar excusas. Ellos cobran al anfitrión por la cancelación pero tú te quedas sin nada. Y la devolución del dinero tarda días.",Valorada con 1 estrellas sobre 5
Poca profesionalidad y seriedad,"Hemos alquilado un piso en Valencia. Al llegar al destino nos hemos dado cuenta que era situado en el barrio más bajo, con gente de todo tipo. No quería pasar la noche allí por miedo y hemos hablado con el propietario. El mismo ha cancelado la reserva con la condición de no ponerle una mala reseña, cosa que me pareció fatal, ya que no quiero que les pase a más gente lo mismo. Después hemos hablado con una chica de Atención al Cliente , Valeria  para preguntar cómo puedo recuperar los gastos de gestión, ya que ese piso en esa zona no esta en condiciones para alquilar y no nos ayudó en nada, diciendo que el piso cumple con lo descrito. Así que hemos tenido que buscar a las 11 de la noche con un bebé de 1 año un hotel. Ojalá no pase a más gente o mismo. Me parece muy poca profesionalidad y seriedad por vuestra parte.",Valorada con 1 estrellas sobre 5
Piratas,"Yo soy propietario y considero que es una estafa lo que cobran a los clientes y a nosotros ,son los piratas de este siglo 😡💩",Valorada con 1 estrellas sobre 5
Desastroso,"Tengo un apartamento contratado desde enero, pero la tarjeta de crédito por motivos x la he cancelado y claro con esa tarjeta no puede cobrar el resto que falta de pagar, y aquí me empieza el problema porque la aplicación no ma deja abonar lo que falta de ninguna forma, ni con otra tarjeta ni con paypal,he mandado mensaje para solucionar el problema he hablado por tl y no me solucionado el problema es más con los que he hablado me dicen que me llamarían para decirme algo y ni eso,el caso es que si cancelo la reserva tampoco me pueden devolver el dinero pagado porque con la tarjeta con que pague está cancelada hace tiempo, total una agencia de viajes que deja mucho que desear un desastre",Valorada con 1 estrellas sobre 5
Aceptan estafadores,"Aceptan estafadores, admiten anuncios fraudulentos, alquile para un para mis padres un supuesto apartamento en la descripción del producto y ahora era una habitación , el Airbnb permite que el anfitrión se quede con el dinero y me cancele la reserva .",Valorada con 1 estrellas sobre 5
¿COMO PUEDEN ALQUILAR UNA CASA COMO ESTA?,"Escribimos a Airbnb y la propietaria la misma tarde que llegamos al alojamiento para decirles que si nos hacian un reembolso nos ibamos inmediatamente.La casa no está en condiciones de habitabilidad.Tiene muchas cosas rotas, sucias o viejas.Las sábanas sucias y rotas.Los bancos de baldosas rotos.Los utensilios de cocina escasos y en malas condiones.La parcela llena de trastos.",Valorada con 1 estrellas sobre 5
Engaño y protección de sus intereses economicos,"Y porque no puedo darle negativos...Web q solo protege sus intereses y la manera de ganar dinero. Estuve con mi pareja en un apartamento q era inhabitable. No tenía muchas de las cosas q ofrecían, y las q tenía en mal estado. Una estafa en toda regla",Valorada con 1 estrellas sobre 5
Me quitaron la cuenta por una tontería,Me quitaron la cuenta por una tontería. No acepté una reserva porque sospechaba que era un fraude y me acusaron de discriminación. He perdido mucho dinero y tiempo por su culpa. Perdí las reservas de todo el verano. Lamentable empresa,Valorada con 1 estrellas sobre 5
Hice una reserva ya en diciembre del…,"Hice una reserva ya en diciembre del 2022 del 1 al 8 de agosto en Nápoles, que ahora a menos de 2 meses me cancelan sin ninguna explicación, intento hablar con la propietaria y no hay respuesta, llamo a Airbnb y lo que me dicen esque esto se puede hacer pero que se le va a poner una penalización, una penalización que por supuesto cobra Airbnb pero a mí me dejan tirada, repito, a menos de 2 meses en Nápoles donde las estancias ya están a más del triple de precio.No me parece no serio ni correcto.",Valorada con 1 estrellas sobre 5
Estafadores,"Airbnb lo peor, desde los anfitriones hasta el personal y soporte de Airbnb. Me robaron $700.00 en un hospedaje de New york, donde nunca me pude llegar a hospedar porque el anfitrión “Frederick” luego de cobrarme el importe, no me permitió entrar al hospedaje y tampoco me devolvió el dinero, ni si quiera parte del dinero, nos quedamos en las calles de New York con frío hasta las 11:00pm. Nadie pero nadie de airbnb nos ayudó, llámanos y nos decían que no estaba en sus manos. Ni tan si quiera nos dieron un importe o un boleto para poder alojarnos mientras solucionábamos, la peor experiencia de mi vida. Por favor, no alojen con airbnb.",Valorada con 1 estrellas sobre 5
Airbnb es lo peor que he visto en…,"Airbnb es lo peor que he visto en alquileres vacacionales. Llegamos al alojamiento que teníamos pagado y nos dejaron tirados. Es algo que ya esperábamos, ya que las últimas opiniones ya lo avisaban. Por eso decidimos adelantarnos y avisar a Airbnb de que podía ocurrir que el anfitrión no se presentara. Pues así fue, incluso con avisos previos la compañía no movió ni un dedo en ayudarnos, ni antes, ni en el mismo momento, ni después... Estuvimos hasta las tantas de la madrugada tirados por Dublín intentando buscar donde dormir, y Airbnb no nos ayudó absolutamente en nada. Es una estafa en toda regla, publican alojamientos aún sabiendo que tienen malas opiniones. Nunca más contrataré nada por medio de estos estafadores, y nunca se lo recomendaré a nadie.",Valorada con 1 estrellas sobre 5
Son unos estafadores,"Son unos estafadores,no responden si el alfitrion no aparece, a unos amigos les dejaron tirados el fin de semana y les dijeron que se buscasen otra cosa que a ellos tampoco les cogía el teléfono y no podían hacer nada.Tampoco te devuelven el dinero.Ahora denuncias y papeleo.Menos mal que yo no me fie de esta página sino nos vemos todos sin alojamiento",Valorada con 1 estrellas sobre 5
NUNCA CONFIÉIS EN AIRBNB,"No se puede dar menos de una estrella… que lástima, porque ellos se merecen - 500 estrellas. Son un Mero intermediario entre anfitriones aprovechados e inquilinos ingenuos que creemos que por gestionar alojamientos a través de ellos te van a cubrir o ayudar en caso de complicaciones o estafas. Hacen muy bien el paripé de hacerte creer que hacen algo por ayudarte pero para nada, te marean, te mal informan para al final dejarte estafado e insatisfecho. No confiéis en ellos. Nunca van a dar la cara por el simple inquilino cuando algo falla. Siempre se pondrán de parte del estafador puesto que a través de él es como se enriquecen ellos.",Valorada con 1 estrellas sobre 5
Airbnb un negocio DIABÓLICO no lo usen,"Un desastre Airbnb ante cualquier reclamo hacia un anfitrión, su política es bloquearte y cancelar tus reservaciones y si estás en medio de una gira te dejan tirado y les importa nada solo su maldito negocio ... te puedes quedar en la calle en un país desconocido y ellos poco les importa ... además hay anfitriones qie te cobran extra en efectivo y AIRBNB no hace nada al respecto !!!",Valorada con 1 estrellas sobre 5
CANCELAN MI RESERVA Y NO DAN SOLUCIONES,"Tras haber reservado un apartamento para Nueva York en plena temporada alta con muchos meses de antelación, esta mañana me envían un mensaje de que el anfitrión ha cancelado la reserva y me devuelven el importe. Me pongo en contacto con ellos para que me busquen una solución y algún alojamiento alternativo o me compensen de alguna manera, y desde AirBnb se lavan las manos ya que la reserva se canceló con más de un mes de antelación.Vergonzosa la gestión, esto con Booking no pasa. Básicamente me dejan en la calle en Nueva York cuando los precios están por las nubes y ninguna solución. No vuelvo a reservar con ellos.",Valorada con 1 estrellas sobre 5
Son unos sinvergüenzas,"Son unos sinvergüenzas. Miré un apartamento por la plataforma para dos adultos y el precio total eran 137€, por error lo reservé en otro dispositivo para un adulto y el precio era el mismo 137€. Soy honesto y les mando una solicitud de modificación de reserva y me la anulan. Después de horas sin contestar les ruego q por favor me digan algo y me dicen que el suplemento por persona es de 30€ por persona y noche. Intento reclamar en Airbnb me pasan con 5 agentes para que me digan que no pueden hacer nada. Fomentan la estafa, el engaño y sin vacaciones que me he quedado, que eso no tiene precio. Para mi están totalmente descartados de por vida, son unos LADRONES.",Valorada con 1 estrellas sobre 5
"SI, solucionan","Hola! yo acabo de tener un problema, porque ahora resulta que hay viviendas, que te marcan ""cargos adicionales"" bien pues cuidado con esto.... Porque es tela! mi reserva con los extras era como 600€ mas de lo que tenia reservado. Te quieren cobrar por todo, la luz el consumo, las toallas, las sabanas  una limpieza final ni que fueras a montar la fiesta de harry y megan etc... Creo que se esta yendo bastante ...  hay que leer muy bien la letra.. y sobretodo jamas aceptar pagos en efectivo sin que lo sepa airbnb.Me lo han solucionado muy bien, mejor de lo que esperaba asi que no tengo ninguna pega, es mas otras veces me han solicionado otras cosas y genial también, yo si estoy contenta con el servicio.",Valorada con 5 estrellas sobre 5
Airbnb estafadores anfitriones,"He estado reservando mis dos propiedades en airbnb durante VARIOS años, ganaron mucho dinero con mi negocioY apenas hemos tenido incidencias...Pero un inquilino rompió una puerta y solicité el costo de la reparación a airbnb AircoverSigo todas las instrucciones que me dan, para obtener el reembolsoDoy una cotización y sin ningún motivo me dicen que no es válida, luego doy otra cotización de otra empresa y me contestan después de varios días diciendo que tampoco es válida y que como han pasado más de 30 días, ya no puedo reclamar el dineroLa única razón fue: el presupuesto no es válido porque la empresa no es válida.Pues proporcionar una lista de empresas aceptadas ... etc.Si como dices los presupuestos no son válidos, ¿por qué no me pagan la cantidad que tú estimas o mandan a tu carpintero a arreglar el desperfecto?son unos estafadores!! En cuanto pase el verano planeo retirar mis propiedades de Airbnb!!",Valorada con 1 estrellas sobre 5
Estafada,"He cancelado una reserva en AIRBNB con 2 semanas de antelación y se han quedado con la mitad de mi dinero, con toda la cara otras aplicaciones como booking puedes pagar hasta 48h antes y cancelarlo también sin cobrarte nada, son un fraude estafadores",Valorada con 1 estrellas sobre 5
Fraude pisos Airbnb,FraudeAirbnb actuá de mala fe. No comprueba que los pisos que anuncia cumplan con todos los requisitos legales y de seguridad. Solo le importa facturar y cuando denuncias irregularidades se escuda en que ellos preguntan y se creen sin verificar lo que les dicen los anfitriones. Airbnb facilita el alquiler ilegal y el fraude fiscal. A esto se le llama mala praxis,Valorada con 1 estrellas sobre 5
No me deja verificar mi perfil tras…,"No me deja verificar mi perfil tras intentar hacer una reserva. Eso sí, me han cobrado sin ningún problema. Para eso sí funciona de maravilla la aplicación, para robar. He intentado el proceso de verificación más de 14 veces, he perdido la cuenta. A ver, mi foto de DNI es la misma que mi pu7a cara del selfie que he mandado tantas veces. Dejaros ya de inteligencia artificial y tonterías para solucionar ya esto o devolverme el dinero. Me he comunicado por chat dos veces y no he obtenido solución",Valorada con 1 estrellas sobre 5
Solo les importa sacarte el dinero…,Me equivoqué que en las fechas de reserva y cancelé con mas de una semana de antelación y no me devolvieron todo el dinero. En un hotel si lo hicieron y sin rechistar. Poco profesionales y unos ladrones.,Valorada con 1 estrellas sobre 5
La peor experiencia en Airbnb,"La peor experiencia soy anfitrión y huésped así que obviamente la empresa genera bastante recursos gracias a mi sin embargo en el momento de solicitar ayuda nadie brinda  la ayuda necesaria , me quede en Bolivia en un departamento en Santa Cruz por una operación al 4 día me di cuenta de que el departamento estaba lleno de cucarachas los anteriores días había estado en el hospital y no había podido pasar suficiente tiempo en el departamento me comuniqué con el equipo y obviamente respondieron tarde como siempre ,  yo ya había conseguido otro lugar para quedarme ya que para mi había un riesgo de infección latente, me dieron un reembolso de 5 euros por esto y me devolvieron la noche que ya no me quedaría 20 Euros aunque yo había pagado 180 Euros en total mande fotos , documentación porque aparte yo había dado dinero extra a mi anfitrión y esperé aunque sea una multa para el anfitrión o que ya no puede publicar el departamento en la aplicación ya que literalmente se cerro al diálogo y no me dio ningun devolución o solución  y que otras personas pueden llegar NUEVAMENTE a ese departamento y pasar por mi misma experiencia  pero Airbnb se lavo las manos diciendo que no podían hacer nada entonces me pregunto porque hay en su aplicación la opción de solicitar o pedir dinero y que ellos entren de mediadores esa opción no debería de existir REALMENTE LO PEOR QUE ME HA TOCADO VIVIR HASTA EL MOMENTO NO RECOMENDABLE usen las páginas de fb o otras aplicaciones que no cobran tanto como Airbnb PORQUE AL FINAL SI TIENES ALGÚN PROBLEMA TU PROTECCIÓN DE DAÑOS ES MÍNIMA .",Valorada con 1 estrellas sobre 5
Una semana antes me anulan la reserva…,"Una semana antes me anulan la reserva ...solución? que me busque otra que está en su derecho , nunca más .",Valorada con 1 estrellas sobre 5
He sido anfitriona Airbnb durante años,He sido anfitriona Airbnb durante años. Me dí de baja porque no quería seguir recibiendo huéspedes y ahora me encuentro con que me han bloqueado la cuenta y ni siquiera puedo usarla como huesped ni contactar con ellos para que me den alguna explicación. ¿Discriminación? La suya y el maltrato a los anfitriones que les han sido útiles durante años.,Valorada con 1 estrellas sobre 5
Un autentico desastre,"Un autentico desastre, me confirman la reserva y me la anulan dos meses antes de viajar y con los billetes de avión cogido, una autentica vergüenza,te timan y engañan como quieren. Una verdadera estafa",Valorada con 1 estrellas sobre 5
ESTAFA,"Esta web trabaja tanto como si eres huésped como si eres propietario como una dictadura, te quitan el dinero para cobrar o pagar, incumplen sus normas y no te dejan ni explicarte. es una estafa total.",Valorada con 1 estrellas sobre 5
No volveré a reservar nada con…,"No volveré a reservar nada con Airbnb.Todo muy bonito en la reserva pero si te surge algún problema como en mi caso que dos días antes del viaje ingrese de urgencias y ya no nos era posible viajar.Desde el mismo día de mi ingreso contactamos,explicamos que se nos hiciera devolución o cambio de fechas...Teníamos que viajar a Vitoria y estar allí en3 horas y NADIE nos ha dado una solución ni una respuesta.El servicio NEFACTO.Asi que doy por hecho la perdida total de la reserva.JAMAS volveré a alquilar con ellos ni mis amistades",Valorada con 1 estrellas sobre 5
El servicio pésimo anulando la reserva…,"El servicio pésimo anulando la reserva sin dar opciones de solución. Quiero transmitir como el resto de reseñas la misma situación, captan varios clientes para una opción y descartan a días de la visita. No contrateis en esta compañía bajo ningún concepto.",Valorada con 1 estrellas sobre 5
NO RESERVAR A TRAVES DE ESTA PLATAFORMA MUY POCO SERIA,Lamentable atencion al cliente pasando abolutamente de los problemas que su mismo servicio te acarrea sin que encima puedas hacer nada ya que bien se encargan de adapatar sus condicionantes legales a ello.Nos dejaron tirados a horas de comenzar el viaje y la nueva reserva nos costo mas del triple de lo inicial.No recomiendo a nadie seguir reservando por esta plataforma.,Valorada con 1 estrellas sobre 5
CANCELACIÓN del anfitrión 3 días antes del viaje,"Hicimos una reserva para dos noche en Granada para el puente del 1 de mayo. El anfitrión nos canceló el alojamiento, ya pagado con mucha antelación, 3 días antes. Obviamente, para las fechas que eran, no había nada por el mismo precio ni céntrico. El precio más económico era un poco más del doble de lo que nos costó nuestra reserva. Airbnb solo nos facilita un 30% adicional del coste de nuestra reserva, que en nuestro caso eran unos 85€ aprox. Me reitero, OBVIAMENTE, por 85€ más 2 días antes del puente de mayo, NO HAY NADA. Por lo tanto, nos toca asumir costes cuando ha sido culpa del anfitrión que tiene su hospedaje en la página de Airbnb pero que no se hace totalmente responsable. Además de todas las gestiones, llamadas, facturas para que te devuelvan el dinero (de 5 a 10 días. Pero pagas al minuto), etc.... gestiones y papeleos que ahora YO tengo que hacer.Desde mi punto de vista ha faltado implicación por la empresa y rapidez en la solución.",Valorada con 1 estrellas sobre 5
Trato vergonzoso en Dublín…,"Quiero denunciar el pésimo servicio de la agencia AIRBNB. Mi hijo ha ido a Dublín, habiendo pagado un abusivo precio de casi 800 euros por una simple cama en una litera del 1 al 30 de abril. Hace una semana, la anfitriona, INGRID, le dice que debe irse el día 27 y que le daría un vale. Mi hijo ha buscado otro y otro alojamiento para pasar esas tres noches, pero AIRBNB le cancela continuamente el aljamiento que solicita. AIRBNB ES UNA AGENCIA HORRIBLE; DEPLORABLE; DESASTROSA QUE NO RECOMIENDO A NADIE (en este caso me refiero a Airbnb en Dublín)",Valorada con 1 estrellas sobre 5
Vergonzoso,Una experiencia malísima. A 3 meses de las vacaciones me cancelan el apartamento y al dueño se lo permiten. Ellos te devuelven la señal pero se lavan las manos. No te buscan otro alojamiento ni tampoco te indemnizan por daños y prejuicios. Una vergüenza,Valorada con 1 estrellas sobre 5
Empresa abusiva..,"Realmente hace mucha falta una empresa de hospedaje que no abuse de los precios, que sea confiable, que por lo menos permita cambios con reembolso, que conteste los reclamos...airbnb es cada día más un abuso que un servicio",Valorada con 1 estrellas sobre 5
Airbnb me requirió cometer un delito.,"Creo que es importante que se sepa que aún siendo anfitrión el servicio de atencion al cliente no paro de requerirme que hiciese una acción ilegal y delictiva. Un huésped que llegó borracho se dejó las llaves dentro al no poder abrirla intento forzarla hasta dejarla rota bloqueada. Continuamente Airbnb me requirió que llamase a un cerrajero para abrirla y le llamé, hasta que esté se enteró que estaba alquilada y que aún siendo el dueño solo puede abrirla el huésped contratando el cerrajero, fuimos a la policía que estaba cerca  para confirmarlo y me comentó que si llegó a abrirla y el huésped me denuncia por robo de lo que sea, hubiese tenido un serio problema legal aparte del allanamiento. Dejaron la casa destrozada y si llegó a picar me podía haber costado muy caro, todo esto fomentado y alentado por el servicio de atención al anfitrion.",Valorada con 1 estrellas sobre 5
HOTEL -COSTA BELLE -PLATAFORMA AIRBNB FRAUDE TOTAL…,CUANDO VAS A RESERVAR SU PUBLICIDAD DICE QUE CUENTAS CON UN SEGURO DE REMBOLSO EN CASO DE QUE EL ANFITRION HAYA PUESTO PUBLICIDAD FALSA Y ES TOTAL MENTE MENTIRA A PESAR DE QUE YA CUENTAN CON DEMASIADAS QUEJAS SOBRE ESTE HOTEL AUN ASI LO SIGUEN PROMOVIENDO YA QUE EL HOTEL SE LLEVA UNA PARTE LA AIRBNB OTRA PARTE Y AL VACACIONISTA LE DAN UNA BABA DE LO QUE PAGO POR UNA PUBLICIDAD ENGAÑOSA,Valorada con 1 estrellas sobre 5
AIRBNB empresa estafadora,"Como anfitriona os puedo decir que Airbnb es una estufa ,hace 3 días se acabó la reserva que yo hospede ,Airbnb no me a pagado ni lo ara ,alegando que yo en plena pandemia rechazaba las reservas ,lo que es normal porque estábamos en  estado de alarma ,,Luego ese mismo año perdí a mi hermano con 34 años y ya me desmoralice ,pues hoy me di de baja de esa plataforma lucradora que aparte sigue manteniendo mis penalizaciones activas ,o sea cuando yo hospede se volverán a quedar con el dinero y las penalizaciones no te las quitan , anfitriones cuidado",Valorada con 1 estrellas sobre 5
Realmente es BASURA la app y algunos anfitriones …,"Realmente es BASURA la aplicación prometo no volver a usarla jamás. La primera vez que la use fue sin problema, aunque en la descripción y fotos decía haber una cama más resultó que no pero fuera de eso no hubo ningún problema y todo lo demás fue ideal. PERO LA SEGUNDA VEZ QUE RESERVE fue la experiencia más horrible. La anfitriona me pidió contactarme por WhatsApp aún sin aceptar mi reserva y me cambió el precio y me pidió transferirle en vez de hacerlo por la app, cuando le dije que lo pensaría porque me daba desconfianza se molestó y por presión le dije después que aceptaba y ella dijo que ya la había rentado cuando mi reserva seguía activa. Eso no fue todo, tuve reservar otro alojamiento y todo parecía bien hasta que llegamos. Si era como en las fotos pero las condiciones eran insalubres y los muebles estaban en pésimo estado, yo la pasé horrible pero ya estaba ahí y no tenía otra opción. Claro que puse mi experiencia en la opción que te da la app, ni siquiera creo haber sido grosera pero 1 mes después el anfitrión me empezó a mandar mensajes ofensivos uno tras otro así tal cual NOVIO TÓXICO o psicópata señor violento molesto por mi reseña. Todo lo que dije era cierto, solo que no le pareció. Creo que el problema recae en que los anfitriones creen que te hacen un favor al prestarte su departamento pero no es así, deben darle mantenimiento a los muebles y ante las quejas responder educadamente e ir a revisar lo sucedido, no atacar a los clientes porque bien que cobraron, es un servicio el que se otorga NO un favor, a nadie le gusta dormir encima de resortes. O usar un refri apestoso y cubiertos llenos de grasa, entre otras cosas. El sr. alegaba tener reseñas positivas pero vi comentarios acerca de lo mismo que yo mencioné. POR FAVOR NO LA USEN PARA ALOJARSE EN MAZATLAN, SINALOA, MÉXICO.",Valorada con 1 estrellas sobre 5
PÉSIMOS,"PÉSIMOS! JAMAS EN LA VIDA VOLVERÉ A VIAJAR CON ESTE ""SERVICIO"" ESTAFADORES. Llegamos a París a un apartamento que aparentemente en fotos y comentarios (que seguramente ellos mismos escriben) era perfecto, con nuestros hijos, ya que estaba cerca de todos los servicios que queríamos visitar. Pues a la llegada nos dejan la llave en un comercio en el que tenemos que recogerla. Esperamos ya que nos dicen que está viniendo la llave y cuando nos la dan y llegamos al alojamiento resulta ser un bajo interior sucio como él mismo con una puerta al patio interior que tenía que quedarse abierta mientras estuviésemos ahí con todas nuestras cosas, con las manetas de la luz negras de suciedad, sofá y sábanas llenas de manchas, suelo pegajoso.... bueno un show. Total que mandamos todas las fotos y decimos al anfitrión que nos vamos que no podemos estar ahí con niños encima y resulta que tras enviar todas las fotos y hablar con AIRBNB nos devuelven 38€ porque según ellos no hemos dado la opción al anfitrión de que limpie la casa. Vamos me parece increíble, para limpiar esa casa necesitan 2 días. Querrán que nos quedemos mirando como lo hacen mientras perdemos nuestros días de viaje. Al final tuvimos que reservar un hotel en el momento, a parte del desplazamiento hasta allí. NO SE LO RECOMIENDO NI A MI PEOR ENEMIGO.",Valorada con 1 estrellas sobre 5
Como anfitrion me deshago para tener…,"Como anfitrion me deshago para tener todo preparado y hacer valorar mi vivienda. Me sorprende cuando despues de la estancia no he cobrado y aún me falta 4 dias para cobrar lo que el huesped pagó hace meses.La verdad que en años es la primera vez que me pasa, pero la impotencia de que a traves del telefono te digan ""Es lo que hay"",que sinceramente no te apetece compartir experiencias con ellos.",Valorada con 1 estrellas sobre 5
Mi experiencia en Nueva York,"Alquilamos una casa en Brooklyn, muy bonita. Ubicada en 17 Alice Court. Tenía cocina, estaba muy bien ubicada.La atención insuperable .Sin duda si queréis ir a Nueva York, ya sabéis en donde alojaros.",Valorada con 5 estrellas sobre 5
Estafa,"Loteria.Si tienes problemas, Airbnb NO da la cara. Entramos en un piso super cutre, sucio, sin hacer las camas, con ruidos, olores, etc. Mandamos fotos a airbnb y nos dijeron que irian a limpiar y que le diesemos una segunda oportunidad.  Fuimos de nuevo al piso y seguia igual, el propietario habia mandado otras fotos antiguas y no coincidian con las nuestras que las estabamos mandando en el momento. Nos dijeron que el piso estaba limpio. Nos fuimos a un hotel y perdimos una pasta a pesar de que nos dijeron (att al cliente Airbnb) que en las condiciones recoge que si el sitio es insalubre te hacen reembolso o te buscan otro. Airbnb no es garantia de nada.",Valorada con 1 estrellas sobre 5
AIRBNB COMPLICE DE ESTAFAS,"Es una auténtica vergüenza que haya gente haciendo dinero con viviendas que no tienen el valor que anuncian a través de la mentira y la manipulación con la complicidad de Airbnb al que sólo le interesa sacar tajada de toda esta estafa.Muchas de las fotos están trucadas y ocultan información para engañar a los clientes que en muchos casos no pueden ni descansar debido al ruido tanto de la calle como de otros inquilinos. NO ALQUILEN VIVIENDAS A TRAVÉS DE AIRBNB, ES UNA ESTAFA.",Valorada con 1 estrellas sobre 5
Airbnb una empresa muy cutre,"Airbnb, una empresa cutre que no se hace cargo de nada.Tuve que cancelar el viaje por un problema de salud de mi mujer, incluyendo un informe médico en el que nos prohibía volar y son incapaces de ayudarme con el reembolso. La única compañía de todo el viaje que no me ha hecho ni caso",Valorada con 1 estrellas sobre 5
Me da mucha lástima que en vez de usar…,"Me da mucha lástima que en vez de usar hoteles, la gente tenga que usar habitaciones prácticamente al mismo precio que los hoteles y no se den cuentan de que se están beneficiando a consta de ellos y de su ignorancia.Airbnb crea problemas en vez de ayudar y siempre sacan beneficios y ni siquiera ofrecen sus casas, son las de otros y a precios de hoteles.",Valorada con 1 estrellas sobre 5
Me han estafado,"Me han estafado , el anfitrión y AirbnbAlquile un piso el 31-1-23 en Fuengirola, el propietario me pidió 150€ de fianza y al terminar mi estancia pido la devoluciónNunca respondió el huésped y AIRBNB  me dice que ellos detectaron que ese propietario es un estafador y ya no forma parte de Airbnb y que ellos no me pueden ayudar , que lo denuncie externamente ,,Ya he puesto en manos de abogadoAirbnb no se have responsable, ni me proporciona identidad del estafadorUNA VERGÜENZA",Valorada con 1 estrellas sobre 5
